target,dataset_path,submission_id,temperature,drafter,example_id_nunique,new_toks,ttft_ms,tpot_ms,out_toks_per_sec,speedup
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_06-54-21_ab73cc7,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,470.1,119.0,28.0,35.6,1.16
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_11-43-18_ab73cc7,0,No Drafter (Autoregressive),30,450.1,43.9,32.0,31.2,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_11-43-18_ab73cc7,0,bigcode/tiny_starcoder_py,30,453.6,52.2,30.6,32.3,1.04
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_11-43-18_ab73cc7,0,codellama/CodeLlama-7b-Instruct-hf,30,453.9,153.3,59.5,16.2,0.52
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_11-43-18_ab73cc7,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,450.1,166.9,51.3,19.0,0.61
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_11-43-18_ab73cc7,1,No Drafter (Autoregressive),30,438.4,43.8,32.5,30.8,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_11-43-18_ab73cc7,1,bigcode/tiny_starcoder_py,30,455.4,65.7,30.1,33.1,1.08
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_11-43-18_ab73cc7,1,codellama/CodeLlama-7b-Instruct-hf,30,468.2,98.1,43.9,22.4,0.73
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,openai/openai_humaneval,2025-02-06_11-43-18_ab73cc7,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,448.6,128.4,27.6,36.0,1.17
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,tau/scrolls,2025-02-06_02-10-28_d8c80fe,0,No Drafter (Autoregressive),25,261.9,1481.0,87.5,10.9,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,tau/scrolls,2025-02-06_02-10-28_d8c80fe,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,25,257.2,1665.4,59.1,16.0,1.48
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,tau/scrolls,2025-02-06_02-10-28_d8c80fe,0,double7/vicuna-68m,25,262.4,1566.8,56.0,17.3,1.59
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,tau/scrolls,2025-02-06_02-10-28_d8c80fe,1,No Drafter (Autoregressive),25,342.5,1479.5,88.3,10.8,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,tau/scrolls,2025-02-06_02-10-28_d8c80fe,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,25,328.2,1640.7,61.6,16.1,1.5
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,tau/scrolls,2025-02-06_02-10-28_d8c80fe,1,double7/vicuna-68m,25,316.2,1502.2,57.2,17.1,1.59
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,tau/scrolls,2025-02-06_06-54-21_ab73cc7,0,No Drafter (Autoregressive),24,262.9,464.2,52.1,18.4,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,tau/scrolls,2025-02-06_06-54-21_ab73cc7,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,24,260.9,533.0,48.7,19.8,1.08
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,tau/scrolls,2025-02-06_06-54-21_ab73cc7,0,double7/vicuna-68m,24,262.9,484.6,41.4,23.3,1.27
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,tau/scrolls,2025-02-06_06-54-21_ab73cc7,1,No Drafter (Autoregressive),24,347.8,465.9,53.1,18.1,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,tau/scrolls,2025-02-06_06-54-21_ab73cc7,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,24,332.2,536.0,38.6,25.6,1.41
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,tau/scrolls,2025-02-06_06-54-21_ab73cc7,1,double7/vicuna-68m,24,327.5,470.5,42.9,22.6,1.25
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,cnn_dailymail,2025-02-04_18-20-41_bccb1bd,0,No Drafter (Autoregressive),30,475.3,120.1,47.9,20.9,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,cnn_dailymail,2025-02-04_18-20-41_bccb1bd,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,475.0,166.0,49.6,19.9,0.95
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,cnn_dailymail,2025-02-04_18-20-41_bccb1bd,0,double7/vicuna-68m,30,475.0,149.7,32.2,30.8,1.48
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,cnn_dailymail,2025-02-04_18-20-41_bccb1bd,1,No Drafter (Autoregressive),30,417.6,120.3,48.4,20.7,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,cnn_dailymail,2025-02-04_18-20-41_bccb1bd,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,454.4,164.4,37.1,26.8,1.3
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,cnn_dailymail,2025-02-04_18-20-41_bccb1bd,1,double7/vicuna-68m,30,417.8,168.2,33.8,29.3,1.42
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,cnn_dailymail,2025-02-06_06-41-29_ea3ed4b,0,No Drafter (Autoregressive),29,478.3,121.2,48.0,20.8,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,cnn_dailymail,2025-02-06_06-41-29_ea3ed4b,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,29,478.0,167.1,51.3,18.9,0.91
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,cnn_dailymail,2025-02-06_06-41-29_ea3ed4b,0,double7/vicuna-68m,29,478.0,148.1,32.5,30.6,1.47
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,cnn_dailymail,2025-02-06_06-41-29_ea3ed4b,1,No Drafter (Autoregressive),29,453.3,121.5,49.0,20.4,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,cnn_dailymail,2025-02-06_06-41-29_ea3ed4b,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,29,442.1,167.5,37.9,26.1,1.28
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,cnn_dailymail,2025-02-06_06-41-29_ea3ed4b,1,double7/vicuna-68m,29,449.3,146.4,34.2,29.1,1.42
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,openai/openai_humaneval,2025-02-06_06-39-35_e14af1d,0,No Drafter (Autoregressive),30,429.2,72.0,48.3,20.7,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,openai/openai_humaneval,2025-02-06_06-39-35_e14af1d,0,bigcode/tiny_starcoder_py,30,430.1,80.1,34.2,28.5,1.38
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,openai/openai_humaneval,2025-02-06_06-39-35_e14af1d,0,codellama/CodeLlama-7b-Instruct-hf,30,430.2,182.7,64.4,14.9,0.72
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,openai/openai_humaneval,2025-02-06_06-39-35_e14af1d,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,431.2,196.4,50.3,19.5,0.94
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,openai/openai_humaneval,2025-02-06_06-39-35_e14af1d,1,No Drafter (Autoregressive),30,469.3,72.2,48.6,20.6,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,openai/openai_humaneval,2025-02-06_06-39-35_e14af1d,1,bigcode/tiny_starcoder_py,30,455.4,86.2,35.5,28.1,1.37
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,openai/openai_humaneval,2025-02-06_06-39-35_e14af1d,1,codellama/CodeLlama-7b-Instruct-hf,30,461.2,123.4,49.5,20.1,0.97
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,openai/openai_humaneval,2025-02-06_06-39-35_e14af1d,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,457.0,147.4,28.5,35.0,1.7
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,tau/scrolls,2025-02-04_18-20-41_bccb1bd,0,No Drafter (Autoregressive),27,351.7,950.4,76.3,12.7,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,tau/scrolls,2025-02-04_18-20-41_bccb1bd,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,27,354.4,1006.0,57.0,17.3,1.36
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,tau/scrolls,2025-02-04_18-20-41_bccb1bd,0,double7/vicuna-68m,27,355.0,989.8,59.1,16.5,1.3
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,tau/scrolls,2025-02-04_18-20-41_bccb1bd,1,No Drafter (Autoregressive),27,346.1,954.3,76.5,12.6,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,tau/scrolls,2025-02-04_18-20-41_bccb1bd,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,27,299.8,1006.2,45.5,21.8,1.72
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,tau/scrolls,2025-02-04_18-20-41_bccb1bd,1,double7/vicuna-68m,27,308.0,997.5,61.3,15.8,1.25
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,tau/scrolls,2025-02-06_06-41-29_ea3ed4b,0,No Drafter (Autoregressive),29,344.6,933.1,77.7,12.5,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,tau/scrolls,2025-02-06_06-41-29_ea3ed4b,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,29,347.1,988.1,57.6,17.1,1.37
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,tau/scrolls,2025-02-06_06-41-29_ea3ed4b,0,double7/vicuna-68m,29,346.6,979.9,59.3,16.5,1.32
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,tau/scrolls,2025-02-06_06-41-29_ea3ed4b,1,No Drafter (Autoregressive),29,324.3,946.4,77.3,12.5,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,tau/scrolls,2025-02-06_06-41-29_ea3ed4b,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,29,315.1,997.8,43.0,22.7,1.82
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,tau/scrolls,2025-02-06_06-41-29_ea3ed4b,1,double7/vicuna-68m,29,342.1,977.1,61.6,15.9,1.27
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,cnn_dailymail,2025-02-05_03-44-45_d7c02fb,0,No Drafter (Autoregressive),29,476.1,105.8,37.4,26.7,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,cnn_dailymail,2025-02-05_03-44-45_d7c02fb,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,29,477.1,211.7,59.6,16.3,0.61
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,cnn_dailymail,2025-02-05_03-44-45_d7c02fb,0,double7/vicuna-68m,29,475.7,168.3,28.2,34.6,1.3
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,cnn_dailymail,2025-02-05_03-44-45_d7c02fb,1,No Drafter (Autoregressive),29,473.3,106.1,37.9,26.4,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,cnn_dailymail,2025-02-05_03-44-45_d7c02fb,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,29,460.1,190.6,47.8,20.8,0.79
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,cnn_dailymail,2025-02-05_03-44-45_d7c02fb,1,double7/vicuna-68m,29,398.1,139.9,31.5,31.7,1.2
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,cnn_dailymail,2025-02-06_08-19-02_ab73cc7,0,No Drafter (Autoregressive),29,479.4,34.7,19.3,51.8,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,cnn_dailymail,2025-02-06_08-19-02_ab73cc7,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,29,477.2,85.1,38.6,24.6,0.48
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,cnn_dailymail,2025-02-06_08-19-02_ab73cc7,0,double7/vicuna-68m,29,479.4,65.2,17.6,55.2,1.07
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,cnn_dailymail,2025-02-06_08-19-02_ab73cc7,1,No Drafter (Autoregressive),29,422.8,35.0,19.8,50.6,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,cnn_dailymail,2025-02-06_08-19-02_ab73cc7,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,29,467.9,95.0,27.2,36.6,0.72
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,cnn_dailymail,2025-02-06_08-19-02_ab73cc7,1,double7/vicuna-68m,29,436.9,108.5,18.4,54.2,1.07
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,openai/openai_humaneval,2025-02-05_03-44-51_d7c02fb,0,No Drafter (Autoregressive),30,465.6,69.0,38.0,26.3,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,openai/openai_humaneval,2025-02-05_03-44-51_d7c02fb,0,bigcode/tiny_starcoder_py,30,463.8,91.0,36.1,26.4,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,openai/openai_humaneval,2025-02-05_03-44-51_d7c02fb,0,codellama/CodeLlama-7b-Instruct-hf,30,465.8,288.0,93.9,10.1,0.38
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,openai/openai_humaneval,2025-02-05_03-44-51_d7c02fb,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,466.8,324.7,63.6,15.1,0.57
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,openai/openai_humaneval,2025-02-05_03-44-51_d7c02fb,1,No Drafter (Autoregressive),30,472.8,69.3,38.4,26.1,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,openai/openai_humaneval,2025-02-05_03-44-51_d7c02fb,1,bigcode/tiny_starcoder_py,30,482.8,80.2,38.5,25.9,0.99
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,openai/openai_humaneval,2025-02-05_03-44-51_d7c02fb,1,codellama/CodeLlama-7b-Instruct-hf,30,465.5,153.0,65.5,15.1,0.58
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,openai/openai_humaneval,2025-02-05_03-44-51_d7c02fb,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,463.1,162.6,40.6,24.5,0.94
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,openai/openai_humaneval,2025-02-06_10-44-45_ab73cc7,0,No Drafter (Autoregressive),30,463.6,24.4,19.6,50.9,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,openai/openai_humaneval,2025-02-06_10-44-45_ab73cc7,0,bigcode/tiny_starcoder_py,30,466.0,36.1,23.7,39.6,0.78
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,openai/openai_humaneval,2025-02-06_10-44-45_ab73cc7,0,codellama/CodeLlama-7b-Instruct-hf,30,467.9,138.0,54.4,17.5,0.34
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,openai/openai_humaneval,2025-02-06_10-44-45_ab73cc7,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,467.7,149.3,42.2,22.7,0.45
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,openai/openai_humaneval,2025-02-06_10-44-45_ab73cc7,1,No Drafter (Autoregressive),30,484.4,23.4,20.0,49.9,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,openai/openai_humaneval,2025-02-06_10-44-45_ab73cc7,1,bigcode/tiny_starcoder_py,30,476.7,40.0,22.3,44.7,0.9
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,openai/openai_humaneval,2025-02-06_10-44-45_ab73cc7,1,codellama/CodeLlama-7b-Instruct-hf,30,468.3,59.6,39.2,25.3,0.51
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,openai/openai_humaneval,2025-02-06_10-44-45_ab73cc7,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,30,485.1,88.3,24.3,40.9,0.82
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,tau/scrolls,2025-02-05_03-44-45_d7c02fb,0,No Drafter (Autoregressive),26,373.0,836.2,50.8,19.3,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,tau/scrolls,2025-02-05_03-44-45_d7c02fb,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,26,375.0,1073.3,66.3,14.7,0.76
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,tau/scrolls,2025-02-05_03-44-45_d7c02fb,0,double7/vicuna-68m,26,373.8,888.7,45.5,21.7,1.13
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,tau/scrolls,2025-02-05_03-44-45_d7c02fb,1,No Drafter (Autoregressive),26,414.5,835.8,51.2,19.2,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,tau/scrolls,2025-02-05_03-44-45_d7c02fb,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,26,409.8,1061.8,50.9,19.3,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,tau/scrolls,2025-02-05_03-44-45_d7c02fb,1,double7/vicuna-68m,26,436.6,850.8,48.0,20.7,1.08
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,tau/scrolls,2025-02-06_08-19-02_ab73cc7,0,No Drafter (Autoregressive),29,374.2,221.2,22.4,44.0,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,tau/scrolls,2025-02-06_08-19-02_ab73cc7,0,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,29,367.9,296.2,41.1,23.5,0.54
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,tau/scrolls,2025-02-06_08-19-02_ab73cc7,0,double7/vicuna-68m,29,368.1,245.4,24.6,39.9,0.91
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,tau/scrolls,2025-02-06_08-19-02_ab73cc7,1,No Drafter (Autoregressive),29,404.4,220.5,22.8,43.2,1.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,tau/scrolls,2025-02-06_08-19-02_ab73cc7,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,29,437.1,296.9,29.1,34.2,0.79
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,tau/scrolls,2025-02-06_08-19-02_ab73cc7,1,double7/vicuna-68m,29,404.7,238.6,25.0,39.2,0.91
google/gemma-2-9b-it,cnn_dailymail,2025-02-06_06-38-32_e14af1d,0,No Drafter (Autoregressive),8,150.6,73.7,37.3,26.7,1.0
google/gemma-2-9b-it,cnn_dailymail,2025-02-06_06-38-32_e14af1d,0,double7/vicuna-68m,8,150.6,83.9,26.9,37.1,1.39
google/gemma-2-9b-it,cnn_dailymail,2025-02-06_06-38-32_e14af1d,0,google/gemma-2-2b-it,8,154.1,125.4,39.7,24.6,0.92
google/gemma-2-9b-it,cnn_dailymail,2025-02-06_06-38-32_e14af1d,1,No Drafter (Autoregressive),8,170.2,73.7,37.8,26.5,1.0
google/gemma-2-9b-it,cnn_dailymail,2025-02-06_06-38-32_e14af1d,1,double7/vicuna-68m,8,165.5,100.1,30.0,33.2,1.26
google/gemma-2-9b-it,cnn_dailymail,2025-02-06_06-38-32_e14af1d,1,google/gemma-2-2b-it,8,160.8,117.8,33.5,29.8,1.13
google/gemma-2-9b-it,openai/openai_humaneval,2025-02-06_06-38-32_e14af1d,0,No Drafter (Autoregressive),21,422.6,42.6,37.0,27.0,1.0
google/gemma-2-9b-it,openai/openai_humaneval,2025-02-06_06-38-32_e14af1d,0,double7/vicuna-68m,21,423.3,51.6,24.5,40.2,1.49
google/gemma-2-9b-it,openai/openai_humaneval,2025-02-06_06-38-32_e14af1d,0,google/gemma-2-2b-it,21,423.1,446.5,29.1,33.2,1.23
google/gemma-2-9b-it,openai/openai_humaneval,2025-02-06_06-38-32_e14af1d,1,No Drafter (Autoregressive),21,428.5,42.6,37.3,26.8,1.0
google/gemma-2-9b-it,openai/openai_humaneval,2025-02-06_06-38-32_e14af1d,1,double7/vicuna-68m,21,373.0,92.8,25.1,39.2,1.46
google/gemma-2-9b-it,openai/openai_humaneval,2025-02-06_06-38-32_e14af1d,1,google/gemma-2-2b-it,21,418.2,384.1,27.2,36.4,1.36
google/gemma-2-9b-it,tau/scrolls,2025-02-06_06-38-32_e14af1d,0,No Drafter (Autoregressive),16,449.6,584.0,95.3,9.9,1.0
google/gemma-2-9b-it,tau/scrolls,2025-02-06_06-38-32_e14af1d,0,double7/vicuna-68m,16,449.6,592.4,48.3,18.6,1.87
google/gemma-2-9b-it,tau/scrolls,2025-02-06_06-38-32_e14af1d,0,google/gemma-2-2b-it,16,469.4,739.0,31.3,30.2,3.05
google/gemma-2-9b-it,tau/scrolls,2025-02-06_06-38-32_e14af1d,1,No Drafter (Autoregressive),16,451.9,585.1,90.6,10.4,1.0
google/gemma-2-9b-it,tau/scrolls,2025-02-06_06-38-32_e14af1d,1,double7/vicuna-68m,16,431.0,603.0,46.0,21.4,2.04
google/gemma-2-9b-it,tau/scrolls,2025-02-06_06-38-32_e14af1d,1,google/gemma-2-2b-it,16,458.2,742.3,37.7,26.0,2.49
meta-llama/Llama-3.1-70B-Instruct,cnn_dailymail,2025-02-06_06-38-19_e14af1d,0,No Drafter (Autoregressive),13,235.2,319.3,78.4,12.7,1.0
meta-llama/Llama-3.1-70B-Instruct,cnn_dailymail,2025-02-06_06-38-19_e14af1d,0,Qwen/Qwen2.5-0.5B-Instruct,13,235.2,350.5,62.0,15.3,1.2
meta-llama/Llama-3.1-70B-Instruct,cnn_dailymail,2025-02-06_06-38-19_e14af1d,0,double7/vicuna-68m,13,235.2,334.7,43.2,23.0,1.81
meta-llama/Llama-3.1-70B-Instruct,cnn_dailymail,2025-02-06_06-38-19_e14af1d,0,meta-llama/Llama-3.1-8B-Instruct,13,234.9,633.1,53.1,18.7,1.47
meta-llama/Llama-3.1-70B-Instruct,cnn_dailymail,2025-02-06_06-38-19_e14af1d,0,meta-llama/Llama-3.2-1B-Instruct,13,234.9,448.0,39.4,25.3,1.98
meta-llama/Llama-3.1-70B-Instruct,cnn_dailymail,2025-02-06_06-38-19_e14af1d,0,meta-llama/Llama-3.2-3B-Instruct,13,235.2,614.7,53.4,18.4,1.44
meta-llama/Llama-3.1-70B-Instruct,cnn_dailymail,2025-02-06_06-38-19_e14af1d,1,No Drafter (Autoregressive),13,224.0,317.7,78.7,12.7,1.0
meta-llama/Llama-3.1-70B-Instruct,cnn_dailymail,2025-02-06_06-38-19_e14af1d,1,Qwen/Qwen2.5-0.5B-Instruct,13,204.1,359.3,51.8,19.3,1.52
meta-llama/Llama-3.1-70B-Instruct,cnn_dailymail,2025-02-06_06-38-19_e14af1d,1,double7/vicuna-68m,13,210.6,344.1,52.8,18.9,1.49
meta-llama/Llama-3.1-70B-Instruct,cnn_dailymail,2025-02-06_06-38-19_e14af1d,1,meta-llama/Llama-3.1-8B-Instruct,13,240.7,448.0,46.0,21.6,1.7
meta-llama/Llama-3.1-70B-Instruct,cnn_dailymail,2025-02-06_06-38-19_e14af1d,1,meta-llama/Llama-3.2-1B-Instruct,13,207.3,434.0,37.9,26.2,2.06
meta-llama/Llama-3.1-70B-Instruct,cnn_dailymail,2025-02-06_06-38-19_e14af1d,1,meta-llama/Llama-3.2-3B-Instruct,13,230.1,497.8,43.4,22.6,1.78
meta-llama/Llama-3.1-70B-Instruct,tau/scrolls,2025-02-06_06-38-19_e14af1d,0,No Drafter (Autoregressive),22,289.7,1804.6,125.3,7.8,1.0
meta-llama/Llama-3.1-70B-Instruct,tau/scrolls,2025-02-06_06-38-19_e14af1d,0,Qwen/Qwen2.5-0.5B-Instruct,22,288.0,1839.5,69.5,13.7,1.77
meta-llama/Llama-3.1-70B-Instruct,tau/scrolls,2025-02-06_06-38-19_e14af1d,0,double7/vicuna-68m,22,293.3,1814.3,91.5,10.7,1.37
meta-llama/Llama-3.1-70B-Instruct,tau/scrolls,2025-02-06_06-38-19_e14af1d,0,meta-llama/Llama-3.1-8B-Instruct,22,293.7,2062.6,57.1,17.1,2.2
meta-llama/Llama-3.1-70B-Instruct,tau/scrolls,2025-02-06_06-38-19_e14af1d,0,meta-llama/Llama-3.2-1B-Instruct,22,292.6,1829.5,43.3,22.6,2.92
meta-llama/Llama-3.1-70B-Instruct,tau/scrolls,2025-02-06_06-38-19_e14af1d,0,meta-llama/Llama-3.2-3B-Instruct,22,293.3,1918.3,54.9,17.9,2.3
meta-llama/Llama-3.1-70B-Instruct,tau/scrolls,2025-02-06_06-38-19_e14af1d,1,No Drafter (Autoregressive),22,251.8,1804.0,125.3,7.8,1.0
meta-llama/Llama-3.1-70B-Instruct,tau/scrolls,2025-02-06_06-38-19_e14af1d,1,Qwen/Qwen2.5-0.5B-Instruct,22,274.5,1844.1,58.2,16.9,2.18
meta-llama/Llama-3.1-70B-Instruct,tau/scrolls,2025-02-06_06-38-19_e14af1d,1,double7/vicuna-68m,22,259.5,1802.8,95.2,10.3,1.32
meta-llama/Llama-3.1-70B-Instruct,tau/scrolls,2025-02-06_06-38-19_e14af1d,1,meta-llama/Llama-3.1-8B-Instruct,22,290.8,2034.5,48.2,20.5,2.64
meta-llama/Llama-3.1-70B-Instruct,tau/scrolls,2025-02-06_06-38-19_e14af1d,1,meta-llama/Llama-3.2-1B-Instruct,22,250.7,1835.9,45.2,21.8,2.81
meta-llama/Llama-3.1-70B-Instruct,tau/scrolls,2025-02-06_06-38-19_e14af1d,1,meta-llama/Llama-3.2-3B-Instruct,22,264.3,1920.6,49.7,19.9,2.57
meta-llama/Llama-3.1-8B-Instruct,cnn_dailymail,2025-02-06_06-40-21_e14af1d,0,No Drafter (Autoregressive),29,512.0,37.9,21.6,46.2,1.0
meta-llama/Llama-3.1-8B-Instruct,cnn_dailymail,2025-02-06_06-40-21_e14af1d,0,Qwen/Qwen2.5-0.5B-Instruct,29,512.0,76.4,37.6,19.4,0.42
meta-llama/Llama-3.1-8B-Instruct,cnn_dailymail,2025-02-06_06-40-21_e14af1d,0,double7/vicuna-68m,29,512.0,66.2,16.2,56.2,1.21
meta-llama/Llama-3.1-8B-Instruct,cnn_dailymail,2025-02-06_06-40-21_e14af1d,0,meta-llama/Llama-3.2-1B-Instruct,29,512.0,142.1,16.8,57.7,1.25
meta-llama/Llama-3.1-8B-Instruct,cnn_dailymail,2025-02-06_06-40-21_e14af1d,0,meta-llama/Llama-3.2-3B-Instruct,29,512.0,258.7,25.2,38.9,0.84
meta-llama/Llama-3.1-8B-Instruct,cnn_dailymail,2025-02-06_06-40-21_e14af1d,1,No Drafter (Autoregressive),29,512.0,38.9,22.0,45.4,1.0
meta-llama/Llama-3.1-8B-Instruct,cnn_dailymail,2025-02-06_06-40-21_e14af1d,1,Qwen/Qwen2.5-0.5B-Instruct,29,508.9,78.0,25.0,39.6,0.87
meta-llama/Llama-3.1-8B-Instruct,cnn_dailymail,2025-02-06_06-40-21_e14af1d,1,double7/vicuna-68m,29,486.7,66.9,17.5,56.7,1.25
